Stage UID,Stage,Rank,Previous Stage Ranking,Change,Bib,Specialty,Rider,Age,Team,Points,Today,Bonis,Time,Delta
tour-down-under:2026:2,2,29,,,36,,Prodhomme Nicolas,,,,,,,
tour-down-under:2026:2,2,30,16,,113,,Fisher-Black Finn,,,,,,,
tour-down-under:2026:2,2,31,17,,57,,Paleni Enzo,,,,,,,
tour-down-under:2026:2,2,32,,,131,,O'Connor Ben,,,,,,,
tour-down-under:2026:2,2,33,,,124,,Reinderink Pepijn,,,,,,,
tour-down-under:2026:2,2,34,,,23,,Miholjević Fran,,,,,,,
tour-down-under:2026:2,2,35,,,142,,Hamilton Chris,,,,,,,
tour-down-under:2026:2,2,36,19,,177,,Gate Aaron,,,,,,,
tour-down-under:2026:3,3,,,,34,,Gudmestad Tord,,,,,,,
tour-down-under:2026:3,3,1,1,,31,,Andresen Tobias Lund,,,,,,,
tour-down-under:2026:3,3,2,3,,67,,Welsford Sam,,,,,,,
tour-down-under:2026:3,3,3,2,,151,,Brennan Matthew,,,,,,,
tour-down-under:2026:3,3,4,,,51,,Bower Lewis,,,,,,,
tour-down-under:2026:3,3,5,4,,6,,Vine Jay,,,,,,,
tour-down-under:2026:3,3,6,5,,1,,Narváez Jhonatan,,,,,,,
tour-down-under:2026:3,3,7,,,105,,Stewart Jake,,,,,,,
tour-down-under:2026:3,3,8,28,,22,,Eržen Žak,,,,,,,
tour-down-under:2026:3,3,9,6,,117,,van Poppel Danny,,,,,,,
tour-down-under:2026:3,3,10,36,,177,,Gate Aaron,,,,,,,
tour-down-under:2026:3,3,11,7,,107,,Vernon Ethan,,,,,,,
tour-down-under:2026:3,3,12,30,,113,,Fisher-Black Finn,,,,,,,
tour-down-under:2026:3,3,13,8,,137,,Schmid Mauro,,,,,,,
tour-down-under:2026:3,3,14,9,,194,,Walsh Liam,,,,,,,
tour-down-under:2026:3,3,15,21,,11,,Plowright Jensen,,,,,,,
tour-down-under:2026:3,3,16,10,,161,,Kron Andreas,,,,,,,
tour-down-under:2026:3,3,17,11,,83,,Taminiaux Lionel,,,,,,,
tour-down-under:2026:3,3,18,12,,127,,Zana Filippo,,,,,,,
tour-down-under:2026:3,3,19,,,81,,Fox Matthew,,,,,,,
tour-down-under:2026:3,3,20,13,,147,,van Uden Casper,,,,,,,
tour-down-under:2026:3,3,21,14,,96,,Tesfatsion Natnael,,,,,,,
tour-down-under:2026:3,3,22,19,,46,,Lamperti Luke,,,,,,,
tour-down-under:2026:3,3,23,15,,7,,Yates Adam,,,,,,,
tour-down-under:2026:3,3,24,,,162,,Charmig Anthon,,,,,,,
tour-down-under:2026:3,3,25,16,,77,,Teutenberg Tim Torn,,,,,,,
tour-down-under:2026:3,3,26,17,,76,,Sobrero Matteo,,,,,,,
tour-down-under:2026:3,3,27,18,,43,,Sweeny Harry,,,,,,,
tour-down-under:2026:3,3,28,31,,57,,Paleni Enzo,,,,,,,
tour-down-under:2026:3,3,29,25,,167,,Urianstad Bugge Martin,,,,,,,
tour-down-under:2026:3,3,30,20,,56,,Martin Guillaume,,,,,,,
tour-down-under:2026:3,3,31,,,85,,Veistroffer Baptiste,,,,,,,
tour-down-under:2026:3,3,32,22,,181,,Brenner Marco,,,,,,,
tour-down-under:2026:3,3,33,35,,142,,Hamilton Chris,,,,,,,
tour-down-under:2026:3,3,34,23,,4,,Molano Juan Sebastián,,,,,,,
tour-down-under:2026:3,3,35,24,,104,,Schultz Nick,,,,,,,
tour-down-under:2026:3,3,36,26,,123,,Raccagni Noviero Andrea,,,,,,,
tour-down-under:2026:3,3,37,27,,187,,Zijlaard Maikel,,,,,,,
tour-down-under:2026:3,3,38,29,,36,,Prodhomme Nicolas,,,,,,,
tour-down-under:2026:3,3,39,32,,131,,O'Connor Ben,,,,,,,
tour-down-under:2026:3,3,40,,,14,,Sentjens Sente,,,,,,,
tour-down-under:2026:3,3,41,34,,23,,Miholjević Fran,,,,,,,
tour-down-under:2026:3,3,42,33,,124,,Reinderink Pepijn,,,,,,,
tour-down-under:2026:3,3,43,,,193,,Eddy Patrick,,,,,,,
tour-down-under:2026:4,4,,,,34,,Gudmestad Tord,,,,,,,
tour-down-under:2026:4,4,1,1,,31,,Andresen Tobias Lund,,,,,,,
tour-down-under:2026:4,4,2,2,,67,,Welsford Sam,,,,,,,
tour-down-under:2026:4,4,3,11,,107,,Vernon Ethan,,,,,,,
tour-down-under:2026:4,4,4,10,,177,,Gate Aaron,,,,,,,
tour-down-under:2026:4,4,5,3,,151,,Brennan Matthew,,,,,,,
tour-down-under:2026:4,4,6,4,,51,,Bower Lewis,,,,,,,
tour-down-under:2026:4,4,7,5,,6,,Vine Jay,,,,,,,
tour-down-under:2026:4,4,8,8,,22,,Eržen Žak,,,,,,,
tour-down-under:2026:4,4,9,13,,137,,Schmid Mauro,,,,,,,
tour-down-under:2026:4,4,10,24,,162,,Charmig Anthon,,,,,,,
tour-down-under:2026:4,4,11,12,,113,,Fisher-Black Finn,,,,,,,
tour-down-under:2026:4,4,12,,,114,,Pithie Laurence,,,,,,,
tour-down-under:2026:4,4,13,36,,123,,Raccagni Noviero Andrea,,,,,,,
tour-down-under:2026:4,4,14,16,,161,,Kron Andreas,,,,,,,
tour-down-under:2026:4,4,15,15,,11,,Plowright Jensen,,,,,,,
tour-down-under:2026:4,4,16,,,103,,Gilmore Brady,,,,,,,
tour-down-under:2026:4,4,17,17,,83,,Taminiaux Lionel,,,,,,,
tour-down-under:2026:4,4,18,18,,127,,Zana Filippo,,,,,,,
tour-down-under:2026:4,4,19,25,,77,,Teutenberg Tim Torn,,,,,,,
tour-down-under:2026:4,4,20,20,,147,,van Uden Casper,,,,,,,
tour-down-under:2026:4,4,21,19,,81,,Fox Matthew,,,,,,,
tour-down-under:2026:4,4,22,21,,96,,Tesfatsion Natnael,,,,,,,
tour-down-under:2026:4,4,23,,,27,,Zambanini Edoardo,,,,,,,
tour-down-under:2026:4,4,24,22,,46,,Lamperti Luke,,,,,,,
tour-down-under:2026:4,4,25,23,,7,,Yates Adam,,,,,,,
tour-down-under:2026:4,4,26,,,66,,Watson Samuel,,,,,,,
tour-down-under:2026:4,4,27,37,,187,,Zijlaard Maikel,,,,,,,
tour-down-under:2026:4,4,28,26,,76,,Sobrero Matteo,,,,,,,
tour-down-under:2026:4,4,29,27,,43,,Sweeny Harry,,,,,,,
tour-down-under:2026:4,4,30,28,,57,,Paleni Enzo,,,,,,,
tour-down-under:2026:4,4,31,29,,167,,Urianstad Bugge Martin,,,,,,,
tour-down-under:2026:4,4,32,30,,56,,Martin Guillaume,,,,,,,
tour-down-under:2026:4,4,33,31,,85,,Veistroffer Baptiste,,,,,,,
tour-down-under:2026:4,4,34,32,,181,,Brenner Marco,,,,,,,
tour-down-under:2026:4,4,35,33,,142,,Hamilton Chris,,,,,,,
tour-down-under:2026:4,4,36,,,33,,Gautherat Pierre,,,,,,,
tour-down-under:2026:4,4,37,34,,4,,Molano Juan Sebastián,,,,,,,
tour-down-under:2026:4,4,38,35,,104,,Schultz Nick,,,,,,,
tour-down-under:2026:4,4,39,43,,193,,Eddy Patrick,,,,,,,
tour-down-under:2026:4,4,40,,,136,,Plapp Luke,,,,,,,
tour-down-under:2026:4,4,41,38,,36,,Prodhomme Nicolas,,,,,,,
tour-down-under:2026:4,4,42,,,53,,Donnenwirth Tom,,,,,,,
tour-down-under:2026:4,4,43,39,,131,,O'Connor Ben,,,,,,,
tour-down-under:2026:4,4,44,41,,23,,Miholjević Fran,,,,,,,
tour-down-under:2026:4,4,45,42,,124,,Reinderink Pepijn,,,,,,,
tour-down-under:2026:4,4,46,40,,14,,Sentjens Sente,,,,,,,
tour-down-under:2026:4,4,47,,,196,,Greenwood Matthew,,,,,,,
tour-down-under:2026:4,4,48,,,45,,MacKellar Alastair,,,,,,,
tour-down-under:2026:5,5,,,,34,,Gudmestad Tord,,,,,,,
tour-down-under:2026:5,5,,,,65,,Swift Ben,,,,,,,
tour-down-under:2026:5,5,1,1,,31,,Andresen Tobias Lund,,,,,,,
tour-down-under:2026:5,5,2,5,,151,,Brennan Matthew,,,,,,,
tour-down-under:2026:5,5,3,2,,67,,Welsford Sam,,,,,,,
tour-down-under:2026:5,5,4,11,,113,,Fisher-Black Finn,,,,,,,
tour-down-under:2026:5,5,5,3,,107,,Vernon Ethan,,,,,,,
tour-down-under:2026:5,5,6,16,,103,,Gilmore Brady,,,,,,,
tour-down-under:2026:5,5,7,4,,177,,Gate Aaron,,,,,,,
tour-down-under:2026:5,5,8,10,,162,,Charmig Anthon,,,,,,,
tour-down-under:2026:5,5,9,26,,66,,Watson Samuel,,,,,,,
tour-down-under:2026:5,5,10,6,,51,,Bower Lewis,,,,,,,
tour-down-under:2026:5,5,11,23,,27,,Zambanini Edoardo,,,,,,,
tour-down-under:2026:5,5,12,7,,6,,Vine Jay,,,,,,,
tour-down-under:2026:5,5,13,39,,193,,Eddy Patrick,,,,,,,
tour-down-under:2026:5,5,14,22,,96,,Tesfatsion Natnael,,,,,,,
tour-down-under:2026:5,5,15,8,,22,,Eržen Žak,,,,,,,
tour-down-under:2026:5,5,16,13,,123,,Raccagni Noviero Andrea,,,,,,,
tour-down-under:2026:5,5,17,9,,137,,Schmid Mauro,,,,,,,
tour-down-under:2026:5,5,18,,,175,,Velasco Simone,,,,,,,
tour-down-under:2026:5,5,19,12,,114,,Pithie Laurence,,,,,,,
tour-down-under:2026:5,5,20,14,,161,,Kron Andreas,,,,,,,
tour-down-under:2026:5,5,21,15,,11,,Plowright Jensen,,,,,,,
tour-down-under:2026:5,5,22,17,,83,,Taminiaux Lionel,,,,,,,
tour-down-under:2026:5,5,23,18,,127,,Zana Filippo,,,,,,,
tour-down-under:2026:5,5,24,28,,76,,Sobrero Matteo,,,,,,,
tour-down-under:2026:5,5,25,21,,81,,Fox Matthew,,,,,,,
tour-down-under:2026:5,5,26,19,,77,,Teutenberg Tim Torn,,,,,,,
tour-down-under:2026:5,5,27,24,,46,,Lamperti Luke,,,,,,,
tour-down-under:2026:5,5,28,25,,7,,Yates Adam,,,,,,,
tour-down-under:2026:5,5,29,29,,43,,Sweeny Harry,,,,,,,
tour-down-under:2026:5,5,30,,,71,,Bagioli Andrea,,,,,,,
tour-down-under:2026:5,5,31,30,,57,,Paleni Enzo,,,,,,,
tour-down-under:2026:5,5,32,31,,167,,Urianstad Bugge Martin,,,,,,,
tour-down-under:2026:5,5,33,32,,56,,Martin Guillaume,,,,,,,
tour-down-under:2026:5,5,34,,,122,,Eenkhoorn Pascal,,,,,,,
tour-down-under:2026:5,5,35,33,,85,,Veistroffer Baptiste,,,,,,,
tour-down-under:2026:5,5,36,34,,181,,Brenner Marco,,,,,,,
tour-down-under:2026:5,5,37,35,,142,,Hamilton Chris,,,,,,,
tour-down-under:2026:5,5,38,36,,33,,Gautherat Pierre,,,,,,,
tour-down-under:2026:5,5,39,42,,53,,Donnenwirth Tom,,,,,,,
tour-down-under:2026:5,5,40,38,,104,,Schultz Nick,,,,,,,
tour-down-under:2026:5,5,41,40,,136,,Plapp Luke,,,,,,,
tour-down-under:2026:5,5,42,41,,36,,Prodhomme Nicolas,,,,,,,
tour-down-under:2026:5,5,43,,,24,,Stannard Robert,,,,,,,
tour-down-under:2026:5,5,44,43,,131,,O'Connor Ben,,,,,,,
tour-down-under:2026:5,5,45,,,93,,Novák Pavel,,,,,,,
tour-down-under:2026:5,5,46,45,,124,,Reinderink Pepijn,,,,,,,
tour-down-under:2026:5,5,47,44,,23,,Miholjević Fran,,,,,,,
tour-down-under:2026:5,5,48,46,,14,,Sentjens Sente,,,,,,,
tour-down-under:2026:5,5,49,47,,196,,Greenwood Matthew,,,,,,,
tour-down-under:2026:5,5,50,48,,45,,MacKellar Alastair,,,,,,,
uae-tour:2026:1,1,1,,,181,,del Toro Isaac,,,,,,,
uae-tour:2026:1,1,2,,,33,,Bol Cees,,,,,,,
uae-tour:2026:1,1,3,,,21,,Tiberi Antonio,,,,,,,
uae-tour:2026:1,1,4,,,201,,Malucelli Matteo,,,,,,,
uae-tour:2026:1,1,5,,,71,,Milan Jonathan,,,,,,,
uae-tour:2026:1,1,6,,,12,,Dillier Silvan,,,,,,,
uae-tour:2026:1,1,7,,,205,,Romele Alessandro,,,,,,,
uae-tour:2026:1,1,8,,,81,,Van Eetvelt Lennert,,,,,,,
uae-tour:2026:1,1,9,,,167,,Tulett Ben,,,,,,,
uae-tour:2026:1,1,10,,,131,,Van Wilder Ilan,,,,,,,
uae-tour:2026:1,1,11,,,144,,Mezgec Luka,,,,,,,
uae-tour:2026:1,1,12,,,96,,Pickrell Riley,,,,,,,
uae-tour:2026:1,1,13,,,83,,De Schuyteneer Steffen,,,,,,,
uae-tour:2026:1,1,14,,,117,,Vernon Ethan,,,,,,,
uae-tour:2026:1,1,15,,,196,,Johannessen Tobias Halland,,,,,,,
uae-tour:2026:1,1,16,,,146,,Plapp Luke,,,,,,,
uae-tour:2026:1,1,17,,,62,,Øxenberg Peter,,,,,,,
uae-tour:2026:2,2,1,,,1,,Evenepoel Remco,,,,,,,
uae-tour:2026:2,2,2,1,,181,,del Toro Isaac,,,,,,,
uae-tour:2026:2,2,3,,,61,,Tarling Joshua,,,,,,,
uae-tour:2026:2,2,4,2,,33,,Bol Cees,,,,,,,
uae-tour:2026:2,2,5,,,53,,Cavagna Rémi,,,,,,,
uae-tour:2026:2,2,6,3,,21,,Tiberi Antonio,,,,,,,
uae-tour:2026:2,2,7,,,134,,Hayter Ethan,,,,,,,
uae-tour:2026:2,2,8,4,,201,,Malucelli Matteo,,,,,,,
uae-tour:2026:2,2,9,5,,71,,Milan Jonathan,,,,,,,
uae-tour:2026:2,2,10,6,,12,,Dillier Silvan,,,,,,,
uae-tour:2026:2,2,11,,,35,,Hoole Daan,,,,,,,
uae-tour:2026:2,2,12,7,,205,,Romele Alessandro,,,,,,,
uae-tour:2026:2,2,13,16,,146,,Plapp Luke,,,,,,,
uae-tour:2026:2,2,14,8,,81,,Van Eetvelt Lennert,,,,,,,
uae-tour:2026:2,2,15,10,,131,,Van Wilder Ilan,,,,,,,
uae-tour:2026:2,2,16,9,,167,,Tulett Ben,,,,,,,
uae-tour:2026:2,2,17,11,,144,,Mezgec Luka,,,,,,,
uae-tour:2026:2,2,18,12,,96,,Pickrell Riley,,,,,,,
uae-tour:2026:2,2,19,,,63,,Shmidt Artem,,,,,,,
uae-tour:2026:2,2,20,,,186,,Vermeersch Florian,,,,,,,
uae-tour:2026:2,2,21,13,,83,,De Schuyteneer Steffen,,,,,,,
uae-tour:2026:2,2,22,,,32,,Bissegger Stefan,,,,,,,
uae-tour:2026:2,2,23,14,,117,,Vernon Ethan,,,,,,,
uae-tour:2026:2,2,24,17,,62,,Øxenberg Peter,,,,,,,
uae-tour:2026:2,2,25,15,,196,,Johannessen Tobias Halland,,,,,,,
uae-tour:2026:2,2,26,,,182,,Herregodts Rune,,,,,,,
uae-tour:2026:3,3,1,2,,181,,del Toro Isaac,,,,,,,
uae-tour:2026:3,3,2,6,,21,,Tiberi Antonio,,,,,,,
uae-tour:2026:3,3,3,10,,12,,Dillier Silvan,,,,,,,
uae-tour:2026:3,3,4,1,,1,,Evenepoel Remco,,,,,,,
uae-tour:2026:3,3,5,14,,81,,Van Eetvelt Lennert,,,,,,,
uae-tour:2026:3,3,6,3,,61,,Tarling Joshua,,,,,,,
uae-tour:2026:3,3,7,4,,33,,Bol Cees,,,,,,,
uae-tour:2026:3,3,8,5,,53,,Cavagna Rémi,,,,,,,
uae-tour:2026:3,3,9,9,,71,,Milan Jonathan,,,,,,,
uae-tour:2026:3,3,10,,,14,,Rickaert Jonas,,,,,,,
uae-tour:2026:3,3,11,,,207,,Tejada Harold,,,,,,,
uae-tour:2026:3,3,12,7,,134,,Hayter Ethan,,,,,,,
uae-tour:2026:3,3,13,8,,201,,Malucelli Matteo,,,,,,,
uae-tour:2026:3,3,14,13,,146,,Plapp Luke,,,,,,,
uae-tour:2026:3,3,15,15,,131,,Van Wilder Ilan,,,,,,,
uae-tour:2026:3,3,16,,,31,,Gall Felix,,,,,,,
uae-tour:2026:3,3,17,11,,35,,Hoole Daan,,,,,,,
uae-tour:2026:3,3,18,12,,205,,Romele Alessandro,,,,,,,
uae-tour:2026:3,3,19,25,,196,,Johannessen Tobias Halland,,,,,,,
uae-tour:2026:3,3,20,16,,167,,Tulett Ben,,,,,,,
uae-tour:2026:3,3,21,17,,144,,Mezgec Luka,,,,,,,
uae-tour:2026:3,3,22,,,73,,Gee-West Derek,,,,,,,
uae-tour:2026:3,3,23,19,,63,,Shmidt Artem,,,,,,,
uae-tour:2026:3,3,24,18,,96,,Pickrell Riley,,,,,,,
uae-tour:2026:3,3,25,,,166,,Nordhagen Jørgen,,,,,,,
uae-tour:2026:3,3,26,20,,186,,Vermeersch Florian,,,,,,,
uae-tour:2026:3,3,27,,,16,,Thijssen Gerben,,,,,,,
uae-tour:2026:3,3,28,21,,83,,De Schuyteneer Steffen,,,,,,,
uae-tour:2026:3,3,29,,,11,,Dehairs Simon,,,,,,,
uae-tour:2026:3,3,30,23,,117,,Vernon Ethan,,,,,,,
uae-tour:2026:3,3,31,22,,32,,Bissegger Stefan,,,,,,,
uae-tour:2026:3,3,32,24,,62,,Øxenberg Peter,,,,,,,
uae-tour:2026:3,3,33,26,,182,,Herregodts Rune,,,,,,,
uae-tour:2026:4,4,1,1,,181,,del Toro Isaac,,,,,,,
uae-tour:2026:4,4,2,2,,21,,Tiberi Antonio,,,,,,,
uae-tour:2026:4,4,3,9,,71,,Milan Jonathan,,,,,,,
uae-tour:2026:4,4,4,3,,12,,Dillier Silvan,,,,,,,
uae-tour:2026:4,4,5,4,,1,,Evenepoel Remco,,,,,,,
uae-tour:2026:4,4,6,5,,81,,Van Eetvelt Lennert,,,,,,,
uae-tour:2026:4,4,7,30,,117,,Vernon Ethan,,,,,,,
uae-tour:2026:4,4,8,,,143,,Gamper Patrick,,,,,,,
uae-tour:2026:4,4,9,6,,61,,Tarling Joshua,,,,,,,
uae-tour:2026:4,4,10,7,,33,,Bol Cees,,,,,,,
uae-tour:2026:4,4,11,13,,201,,Malucelli Matteo,,,,,,,
uae-tour:2026:4,4,12,8,,53,,Cavagna Rémi,,,,,,,
uae-tour:2026:4,4,13,27,,16,,Thijssen Gerben,,,,,,,
uae-tour:2026:4,4,14,,,56,,Milan Matteo,,,,,,,
uae-tour:2026:4,4,15,,,91,,de Bod Stefan,,,,,,,
uae-tour:2026:4,4,16,10,,14,,Rickaert Jonas,,,,,,,
uae-tour:2026:4,4,17,11,,207,,Tejada Harold,,,,,,,
uae-tour:2026:4,4,18,12,,134,,Hayter Ethan,,,,,,,
uae-tour:2026:4,4,19,14,,146,,Plapp Luke,,,,,,,
uae-tour:2026:4,4,20,15,,131,,Van Wilder Ilan,,,,,,,
uae-tour:2026:4,4,21,16,,31,,Gall Felix,,,,,,,
uae-tour:2026:4,4,22,17,,35,,Hoole Daan,,,,,,,
uae-tour:2026:4,4,23,28,,83,,De Schuyteneer Steffen,,,,,,,
uae-tour:2026:4,4,24,24,,96,,Pickrell Riley,,,,,,,
uae-tour:2026:4,4,25,18,,205,,Romele Alessandro,,,,,,,
uae-tour:2026:4,4,26,,,172,,Froidevaux Robin,,,,,,,
uae-tour:2026:4,4,27,19,,196,,Johannessen Tobias Halland,,,,,,,
uae-tour:2026:4,4,28,20,,167,,Tulett Ben,,,,,,,
uae-tour:2026:4,4,29,21,,144,,Mezgec Luka,,,,,,,
uae-tour:2026:4,4,30,22,,73,,Gee-West Derek,,,,,,,
uae-tour:2026:4,4,31,,,46,,Steinhauser Georg,,,,,,,
uae-tour:2026:4,4,32,,,154,,Knox James,,,,,,,
uae-tour:2026:4,4,33,23,,63,,Shmidt Artem,,,,,,,
uae-tour:2026:4,4,34,25,,166,,Nordhagen Jørgen,,,,,,,
uae-tour:2026:4,4,35,26,,186,,Vermeersch Florian,,,,,,,
uae-tour:2026:4,4,36,29,,11,,Dehairs Simon,,,,,,,
uae-tour:2026:4,4,37,,,67,,Welsford Sam,,,,,,,
uae-tour:2026:4,4,38,31,,32,,Bissegger Stefan,,,,,,,
uae-tour:2026:4,4,39,32,,62,,Øxenberg Peter,,,,,,,
uae-tour:2026:4,4,40,,,123,,Houcou Emmanuel,,,,,,,
uae-tour:2026:4,4,41,33,,182,,Herregodts Rune,,,,,,,
uae-tour:2026:5,5,1,3,,71,,Milan Jonathan,,,,,,,
uae-tour:2026:5,5,2,4,,12,,Dillier Silvan,,,,,,,
uae-tour:2026:5,5,3,1,,181,,del Toro Isaac,,,,,,,
uae-tour:2026:5,5,4,2,,21,,Tiberi Antonio,,,,,,,
uae-tour:2026:5,5,5,11,,201,,Malucelli Matteo,,,,,,,
uae-tour:2026:5,5,6,7,,117,,Vernon Ethan,,,,,,,
uae-tour:2026:5,5,7,5,,1,,Evenepoel Remco,,,,,,,
uae-tour:2026:5,5,8,6,,81,,Van Eetvelt Lennert,,,,,,,
uae-tour:2026:5,5,9,8,,143,,Gamper Patrick,,,,,,,
uae-tour:2026:5,5,10,9,,61,,Tarling Joshua,,,,,,,
uae-tour:2026:5,5,11,10,,33,,Bol Cees,,,,,,,
uae-tour:2026:5,5,12,,,193,,Blikra Erlend,,,,,,,
uae-tour:2026:5,5,13,29,,144,,Mezgec Luka,,,,,,,
uae-tour:2026:5,5,14,12,,53,,Cavagna Rémi,,,,,,,
uae-tour:2026:5,5,15,13,,16,,Thijssen Gerben,,,,,,,
uae-tour:2026:5,5,16,14,,56,,Milan Matteo,,,,,,,
uae-tour:2026:5,5,17,23,,83,,De Schuyteneer Steffen,,,,,,,
uae-tour:2026:5,5,18,15,,91,,de Bod Stefan,,,,,,,
uae-tour:2026:5,5,19,,,6,,Moscon Gianni,,,,,,,
uae-tour:2026:5,5,20,16,,14,,Rickaert Jonas,,,,,,,
uae-tour:2026:5,5,21,17,,207,,Tejada Harold,,,,,,,
uae-tour:2026:5,5,22,18,,134,,Hayter Ethan,,,,,,,
uae-tour:2026:5,5,23,19,,146,,Plapp Luke,,,,,,,
uae-tour:2026:5,5,24,20,,131,,Van Wilder Ilan,,,,,,,
uae-tour:2026:5,5,25,21,,31,,Gall Felix,,,,,,,
uae-tour:2026:5,5,26,22,,35,,Hoole Daan,,,,,,,
uae-tour:2026:5,5,27,24,,96,,Pickrell Riley,,,,,,,
uae-tour:2026:5,5,28,25,,205,,Romele Alessandro,,,,,,,
uae-tour:2026:5,5,29,26,,172,,Froidevaux Robin,,,,,,,
uae-tour:2026:5,5,30,,,27,,Skerl Daniel,,,,,,,
uae-tour:2026:5,5,31,27,,196,,Johannessen Tobias Halland,,,,,,,
uae-tour:2026:5,5,32,,,127,,Zukowsky Nickolas,,,,,,,
uae-tour:2026:5,5,33,28,,167,,Tulett Ben,,,,,,,
uae-tour:2026:5,5,34,30,,73,,Gee-West Derek,,,,,,,
uae-tour:2026:5,5,35,31,,46,,Steinhauser Georg,,,,,,,
uae-tour:2026:5,5,36,32,,154,,Knox James,,,,,,,
uae-tour:2026:5,5,37,33,,63,,Shmidt Artem,,,,,,,
uae-tour:2026:5,5,38,34,,166,,Nordhagen Jørgen,,,,,,,
uae-tour:2026:5,5,39,35,,186,,Vermeersch Florian,,,,,,,
uae-tour:2026:5,5,40,,,54,,Huens Axel,,,,,,,
uae-tour:2026:5,5,41,36,,11,,Dehairs Simon,,,,,,,
uae-tour:2026:5,5,42,,,74,,Ghebreigzabhier Amanuel,,,,,,,
uae-tour:2026:5,5,43,,,44,,Mihkels Madis,,,,,,,
uae-tour:2026:5,5,44,37,,67,,Welsford Sam,,,,,,,
uae-tour:2026:5,5,45,38,,32,,Bissegger Stefan,,,,,,,
uae-tour:2026:5,5,46,39,,62,,Øxenberg Peter,,,,,,,
uae-tour:2026:5,5,47,,,125,,Parisini Nicolò,,,,,,,
uae-tour:2026:5,5,48,40,,123,,Houcou Emmanuel,,,,,,,
uae-tour:2026:5,5,49,41,,182,,Herregodts Rune,,,,,,,
uae-tour:2026:6,6,1,3,,181,,del Toro Isaac,,,,,,,
uae-tour:2026:6,6,2,1,,71,,Milan Jonathan,,,,,,,
uae-tour:2026:6,6,3,4,,21,,Tiberi Antonio,,,,,,,
uae-tour:2026:6,6,4,2,,12,,Dillier Silvan,,,,,,,
uae-tour:2026:6,6,5,5,,201,,Malucelli Matteo,,,,,,,
uae-tour:2026:6,6,6,23,,146,,Plapp Luke,,,,,,,
uae-tour:2026:6,6,7,6,,117,,Vernon Ethan,,,,,,,
uae-tour:2026:6,6,8,7,,1,,Evenepoel Remco,,,,,,,
uae-tour:2026:6,6,9,25,,31,,Gall Felix,,,,,,,
uae-tour:2026:6,6,10,8,,81,,Van Eetvelt Lennert,,,,,,,
uae-tour:2026:6,6,11,10,,61,,Tarling Joshua,,,,,,,
uae-tour:2026:6,6,12,9,,143,,Gamper Patrick,,,,,,,
uae-tour:2026:6,6,13,11,,33,,Bol Cees,,,,,,,
uae-tour:2026:6,6,14,12,,193,,Blikra Erlend,,,,,,,
uae-tour:2026:6,6,15,13,,144,,Mezgec Luka,,,,,,,
uae-tour:2026:6,6,16,31,,196,,Johannessen Tobias Halland,,,,,,,
uae-tour:2026:6,6,17,21,,207,,Tejada Harold,,,,,,,
uae-tour:2026:6,6,18,14,,53,,Cavagna Rémi,,,,,,,
uae-tour:2026:6,6,19,15,,16,,Thijssen Gerben,,,,,,,
uae-tour:2026:6,6,20,16,,56,,Milan Matteo,,,,,,,
uae-tour:2026:6,6,21,40,,54,,Huens Axel,,,,,,,
uae-tour:2026:6,6,22,17,,83,,De Schuyteneer Steffen,,,,,,,
uae-tour:2026:6,6,23,18,,91,,de Bod Stefan,,,,,,,
uae-tour:2026:6,6,24,20,,14,,Rickaert Jonas,,,,,,,
uae-tour:2026:6,6,25,19,,6,,Moscon Gianni,,,,,,,
uae-tour:2026:6,6,26,22,,134,,Hayter Ethan,,,,,,,
uae-tour:2026:6,6,27,,,55,,Jacobs Johan,,,,,,,
uae-tour:2026:6,6,28,34,,73,,Gee-West Derek,,,,,,,
uae-tour:2026:6,6,29,38,,166,,Nordhagen Jørgen,,,,,,,
uae-tour:2026:6,6,30,24,,131,,Van Wilder Ilan,,,,,,,
uae-tour:2026:6,6,31,26,,35,,Hoole Daan,,,,,,,
uae-tour:2026:6,6,32,45,,32,,Bissegger Stefan,,,,,,,
uae-tour:2026:6,6,33,27,,96,,Pickrell Riley,,,,,,,
uae-tour:2026:6,6,34,28,,205,,Romele Alessandro,,,,,,,
uae-tour:2026:6,6,35,29,,172,,Froidevaux Robin,,,,,,,
uae-tour:2026:6,6,36,30,,27,,Skerl Daniel,,,,,,,
uae-tour:2026:6,6,37,32,,127,,Zukowsky Nickolas,,,,,,,
uae-tour:2026:6,6,38,33,,167,,Tulett Ben,,,,,,,
uae-tour:2026:6,6,39,,,97,,Stewart Mark,,,,,,,
uae-tour:2026:6,6,40,35,,46,,Steinhauser Georg,,,,,,,
uae-tour:2026:6,6,41,36,,154,,Knox James,,,,,,,
uae-tour:2026:6,6,42,37,,63,,Shmidt Artem,,,,,,,
uae-tour:2026:6,6,43,,,153,,Gaffuri Mattia,,,,,,,
uae-tour:2026:6,6,44,39,,186,,Vermeersch Florian,,,,,,,
uae-tour:2026:6,6,45,,,162,,Doull Owain,,,,,,,
uae-tour:2026:6,6,46,41,,11,,Dehairs Simon,,,,,,,
uae-tour:2026:6,6,47,,,51,,Gaudu David,,,,,,,
uae-tour:2026:6,6,48,46,,62,,Øxenberg Peter,,,,,,,
uae-tour:2026:6,6,49,42,,74,,Ghebreigzabhier Amanuel,,,,,,,
uae-tour:2026:6,6,50,43,,44,,Mihkels Madis,,,,,,,
