Stage UID,Stage,Rank,Previous Stage Ranking,Change,Bib,Specialty,Rider,Age,Team,UCI,Bonis,Time,Delta
itzulia-basque-country:2026:1,1,1,,,61,,Seixas Paul,,,,,00:17:09,
itzulia-basque-country:2026:1,1,2,,,183,,Vauquelin Kévin,,,,,00:17:32,00:00:23
itzulia-basque-country:2026:1,1,3,,,34,,Großschartner Felix,,,,,00:17:36,00:00:27
itzulia-basque-country:2026:1,1,4,,,51,,Roglič Primož,,,,,00:17:37,00:00:28
itzulia-basque-country:2026:1,1,5,,,6,,Van Wilder Ilan,,,,,00:17:38,00:00:29
itzulia-basque-country:2026:1,1,6,,,53,,Lipowitz Florian,,,,,00:17:42,00:00:33
itzulia-basque-country:2026:1,1,7,,,181,,August Andrew,,,,,00:17:49,00:00:40
itzulia-basque-country:2026:1,1,8,,,32,,McNulty Brandon,,,,,00:17:52,00:00:43
itzulia-basque-country:2026:1,1,9,,,46,,Skjelmose Mattias,,,,,00:17:54,00:00:45
itzulia-basque-country:2026:1,1,10,,,177,,Leonard Michael,,,,,00:17:55,00:00:46
itzulia-basque-country:2026:1,1,11,,,97,,Romo Javier,,,,,00:17:57,00:00:48
itzulia-basque-country:2026:1,1,12,,,191,,Armirail Bruno,,,,,00:17:59,00:00:50
itzulia-basque-country:2026:1,1,13,,,31,,del Toro Isaac,,,,,00:18:00,00:00:51
itzulia-basque-country:2026:1,1,14,,,194,,Tulett Ben,,,,,00:18:01,00:00:52
itzulia-basque-country:2026:1,1,15,,,4,,Vansevenant Mauri,,,,,00:18:01,00:00:52
itzulia-basque-country:2026:1,1,16,,,186,,Øxenberg Peter,,,,,00:18:02,00:00:53
itzulia-basque-country:2026:1,1,17,,,111,,Bilbao Pello,,,,,00:18:02,00:00:53
itzulia-basque-country:2026:1,1,18,,,14,,Tejada Harold,,,,,00:18:04,00:00:55
itzulia-basque-country:2026:1,1,19,,,1,,Landa Mikel,,,,,00:18:04,00:00:55
itzulia-basque-country:2026:1,1,20,,,176,,Baudin Alex,,,,,00:18:05,00:00:56
itzulia-basque-country:2026:1,1,21,,,7,,Hayter Ethan,,,,,00:18:05,00:00:56
itzulia-basque-country:2026:1,1,22,,,202,,Johannessen Tobias Halland,,,,,00:18:06,00:00:57
itzulia-basque-country:2026:1,1,23,,,62,,Riccitello Matthew,,,,,00:18:07,00:00:58
itzulia-basque-country:2026:1,1,24,,,141,,Izagirre Ion,,,,,00:18:10,00:01:01
itzulia-basque-country:2026:1,1,25,,,204,,Kron Andreas,,,,,00:18:10,00:01:01
itzulia-basque-country:2026:1,1,26,,,37,,Soler Marc,,,,,00:18:10,00:01:01
itzulia-basque-country:2026:1,1,27,,,133,,Brenner Marco,,,,,00:18:11,00:01:02
itzulia-basque-country:2026:1,1,28,,,22,,Braz Afonso Clément,,,,,00:18:14,00:01:05
itzulia-basque-country:2026:1,1,29,,,63,,Bisiaux Léo,,,,,00:18:14,00:01:05
itzulia-basque-country:2026:1,1,30,,,172,,Beloki Markel,,,,,00:18:15,00:01:06
itzulia-basque-country:2026:1,1,31,,,142,,Aranburu Alex,,,,,00:18:16,00:01:07
itzulia-basque-country:2026:1,1,32,,,3,,Cras Steff,,,,,00:18:18,00:01:09
itzulia-basque-country:2026:1,1,33,,,94,,García Pierna Raúl,,,,,00:18:18,00:01:09
itzulia-basque-country:2026:1,1,34,,,131,,Alaphilippe Julian,,,,,00:18:20,00:01:11
itzulia-basque-country:2026:1,1,35,,,65,,Prodhomme Nicolas,,,,,00:18:20,00:01:11
itzulia-basque-country:2026:1,1,36,,,171,,Healy Ben,,,,,00:18:22,00:01:13
itzulia-basque-country:2026:1,1,37,,,185,,Laurance Axel,,,,,00:18:23,00:01:14
itzulia-basque-country:2026:1,1,38,,,41,,Ayuso Juan,,,,,00:18:25,00:01:16
itzulia-basque-country:2026:1,1,39,,,203,,Johannessen Anders Halland,,,,,00:18:26,00:01:17
itzulia-basque-country:2026:1,1,40,,,25,,Pacher Quentin,,,,,00:18:29,00:01:20
itzulia-basque-country:2026:1,1,41,,,26,,Paleni Enzo,,,,,00:18:29,00:01:20
itzulia-basque-country:2026:1,1,42,,,11,,Champoussin Clément,,,,,00:18:30,00:01:21
itzulia-basque-country:2026:1,1,43,,,64,,Labrosse Jordan,,,,,00:18:31,00:01:22
itzulia-basque-country:2026:1,1,44,,,57,,Herzog Emil,,,,,00:18:31,00:01:22
itzulia-basque-country:2026:1,1,45,,,101,,van den Broek Frank,,,,,00:18:32,00:01:23
itzulia-basque-country:2026:1,1,46,,,184,,Langellotti Victor,,,,,00:18:33,00:01:24
itzulia-basque-country:2026:1,1,47,,,67,,Paret-Peintre Aurélien,,,,,00:18:33,00:01:24
itzulia-basque-country:2026:1,1,48,,,116,,Tiberi Antonio,,,,,00:18:33,00:01:24
itzulia-basque-country:2026:1,1,49,,,173,,Shaw James,,,,,00:18:34,00:01:25
itzulia-basque-country:2026:1,1,50,,,91,,Uijtdebroeks Cian,,,,,00:18:35,00:01:26
itzulia-basque-country:2026:1,1,51,,,87,,Ruiz Ibon,,,,,00:18:36,00:01:27
itzulia-basque-country:2026:1,1,52,,,197,,Fiorelli Filippo,,,,,00:18:36,00:01:27
itzulia-basque-country:2026:1,1,53,,,56,,Tuckwell Luke,,,,,00:18:38,00:01:29
itzulia-basque-country:2026:1,1,54,,,143,,Buchmann Emanuel,,,,,00:18:38,00:01:29
itzulia-basque-country:2026:1,1,55,,,154,,Molenaar Alex,,,,,00:18:39,00:01:30
itzulia-basque-country:2026:1,1,56,,,47,,Simmons Quinn,,,,,00:18:39,00:01:30
itzulia-basque-country:2026:1,1,57,,,33,,Arrieta Igor,,,,,00:18:40,00:01:31
itzulia-basque-country:2026:1,1,58,,,124,,Verstrynge Emiel,,,,,00:18:41,00:01:32
itzulia-basque-country:2026:1,1,59,,,44,,Bernard Julien,,,,,00:18:42,00:01:33
itzulia-basque-country:2026:1,1,60,,,216,,Veistroffer Baptiste,,,,,00:18:43,00:01:34
itzulia-basque-country:2026:1,1,61,,,36,,Pericas Adrià,,,,,00:18:43,00:01:34
itzulia-basque-country:2026:1,1,62,,,163,,Juaristi Txomin,,,,,00:18:44,00:01:35
itzulia-basque-country:2026:1,1,63,,,192,,Graat Tijmen,,,,,00:18:45,00:01:36
itzulia-basque-country:2026:1,1,64,,,17,,Velasco Simone,,,,,00:18:45,00:01:36
itzulia-basque-country:2026:1,1,65,,,66,,Staune-Mittet Johannes,,,,,00:18:47,00:01:38
itzulia-basque-country:2026:1,1,66,,,5,,Svrček Martin,,,,,00:18:48,00:01:39
itzulia-basque-country:2026:1,1,67,,,205,,Kulset Johannes,,,,,00:18:49,00:01:40
itzulia-basque-country:2026:1,1,68,,,125,,Dockx Aaron,,,,,00:18:49,00:01:40
itzulia-basque-country:2026:1,1,69,,,121,,Houle Hugo,,,,,00:18:50,00:01:41
itzulia-basque-country:2026:1,1,70,,,21,,Martin Guillaume,,,,,00:18:50,00:01:41
itzulia-basque-country:2026:1,1,71,,,27,,Rochas Rémy,,,,,00:18:50,00:01:41
itzulia-basque-country:2026:1,1,72,,,107,,Gaffuri Mattia,,,,,00:18:53,00:01:44
itzulia-basque-country:2026:1,1,73,,,105,,Koerdt Bjorn,,,,,00:18:53,00:01:44
itzulia-basque-country:2026:1,1,74,,,132,,Weiss Fabian,,,,,00:18:53,00:01:44
itzulia-basque-country:2026:1,1,75,,,43,,Bagioli Andrea,,,,,00:18:54,00:01:45
itzulia-basque-country:2026:1,1,76,,,113,,Kepplinger Rainer,,,,,00:18:57,00:01:48
itzulia-basque-country:2026:1,1,77,,,93,,López Juan Pedro,,,,,00:18:57,00:01:48
itzulia-basque-country:2026:1,1,78,,,207,,Træen Torstein,,,,,00:18:58,00:01:49
itzulia-basque-country:2026:1,1,79,,,13,,Higuita Sergio,,,,,00:18:59,00:01:50
itzulia-basque-country:2026:1,1,80,,,175,,van der Lee Jardi Christiaan,,,,,00:18:59,00:01:50
itzulia-basque-country:2026:1,1,81,,,174,,Nerurkar Lukas,,,,,00:19:03,00:01:54
itzulia-basque-country:2026:1,1,82,,,167,,Mintegi Iker,,,,,00:19:04,00:01:55
itzulia-basque-country:2026:1,1,83,,,147,,Ourselin Paul,,,,,00:19:04,00:01:55
itzulia-basque-country:2026:1,1,84,,,55,,Moscon Gianni,,,,,00:19:04,00:01:55
itzulia-basque-country:2026:1,1,85,,,187,,Rivera Brandon Smith,,,,,00:19:05,00:01:56
itzulia-basque-country:2026:1,1,86,,,195,,Kruijswijk Steven,,,,,00:19:05,00:01:56
itzulia-basque-country:2026:1,1,87,,,217,,Zimmermann Georg,,,,,00:19:06,00:01:57
itzulia-basque-country:2026:1,1,88,,,104,,Knox James,,,,,00:19:06,00:01:57
itzulia-basque-country:2026:1,1,89,,,196,,Rex Tim,,,,,00:19:08,00:01:59
itzulia-basque-country:2026:1,1,90,,,126,,Glivar Gal,,,,,00:19:09,00:02:00
itzulia-basque-country:2026:1,1,91,,,166,,Martín Gotzon,,,,,00:19:11,00:02:02
itzulia-basque-country:2026:1,1,92,,,84,,Iribar Unai,,,,,00:19:11,00:02:02
itzulia-basque-country:2026:1,1,93,,,161,,Ugarte Gari,,,,,00:19:12,00:02:03
itzulia-basque-country:2026:1,1,94,,,153,,Fernández Samuel,,,,,00:19:13,00:02:04
itzulia-basque-country:2026:1,1,95,,,75,,García Pierna Carlos,,,,,00:19:13,00:02:04
itzulia-basque-country:2026:1,1,96,,,12,,Fortunato Lorenzo,,,,,00:19:14,00:02:05
itzulia-basque-country:2026:1,1,97,,,122,,Debruyne Ramses,,,,,00:19:16,00:02:07
itzulia-basque-country:2026:1,1,98,,,15,,Conci Nicola,,,,,00:19:17,00:02:08
itzulia-basque-country:2026:1,1,99,,,81,,Elosegui Iñigo,,,,,00:19:17,00:02:08
itzulia-basque-country:2026:1,1,100,,,35,,Novak Domen,,,,,00:19:18,00:02:09
itzulia-basque-country:2026:1,1,101,,,112,,Ermakov Roman,,,,,00:19:19,00:02:10
itzulia-basque-country:2026:1,1,102,,,162,,Bizkarra Mikel,,,,,00:19:25,00:02:16
itzulia-basque-country:2026:1,1,103,,,102,,Dinham Matthew,,,,,00:19:26,00:02:17
itzulia-basque-country:2026:1,1,104,,,76,,Díaz José Manuel,,,,,00:19:27,00:02:18
itzulia-basque-country:2026:1,1,105,,,136,,Wilksch Hannes,,,,,00:19:28,00:02:19
itzulia-basque-country:2026:1,1,106,,,214,,Orins Robin,,,,,00:19:28,00:02:19
itzulia-basque-country:2026:1,1,107,,,215,,Thompson Reuben,,,,,00:19:30,00:02:21
itzulia-basque-country:2026:1,1,108,,,72,,Quartucci Lorenzo,,,,,00:19:30,00:02:21
itzulia-basque-country:2026:1,1,109,,,152,,Castellon Jan,,,,,00:19:31,00:02:22
itzulia-basque-country:2026:1,1,110,,,155,,Arriolabengoa Julen,,,,,00:19:31,00:02:22
itzulia-basque-country:2026:1,1,111,,,146,,Maas Jan,,,,,00:19:32,00:02:23
itzulia-basque-country:2026:1,1,112,,,103,,Faure Prost Alexy,,,,,00:19:32,00:02:23
itzulia-basque-country:2026:1,1,113,,,164,,Lastra Jonathan,,,,,00:19:32,00:02:23
itzulia-basque-country:2026:1,1,114,,,16,,Scaroni Christian,,,,,00:19:32,00:02:23
itzulia-basque-country:2026:1,1,115,,,145,,Joalland Yaël,,,,,00:19:33,00:02:24
itzulia-basque-country:2026:1,1,116,,,193,,Huising Menno,,,,,00:19:33,00:02:24
itzulia-basque-country:2026:1,1,117,,,117,,Valter Attila,,,,,00:19:33,00:02:24
itzulia-basque-country:2026:1,1,118,,,213,,Ørn-Kristoff Felix,,,,,00:19:35,00:02:26
itzulia-basque-country:2026:1,1,119,,,96,,Adrià Roger,,,,,00:19:35,00:02:26
itzulia-basque-country:2026:1,1,120,,,2,,Bastiaens Ayco,,,,,00:19:36,00:02:27
itzulia-basque-country:2026:1,1,121,,,157,,López Joseba,,,,,00:19:36,00:02:27
itzulia-basque-country:2026:1,1,122,,,134,,Eriksson Jacob,,,,,00:19:39,00:02:30
itzulia-basque-country:2026:1,1,123,,,77,,Fajardo Adrián,,,,,00:19:40,00:02:31
itzulia-basque-country:2026:1,1,124,,,52,,Etxeberria Haimar,,,,,00:19:40,00:02:31
itzulia-basque-country:2026:1,1,125,,,206,,Tjøtta Martin,,,,,00:19:40,00:02:31
itzulia-basque-country:2026:1,1,126,,,165,,Alustiza Nicolás,,,,,00:19:42,00:02:33
itzulia-basque-country:2026:1,1,127,,,123,,Belmans Lennert,,,,,00:19:44,00:02:35
itzulia-basque-country:2026:1,1,128,,,73,,Faura José Luis,,,,,00:19:45,00:02:36
itzulia-basque-country:2026:1,1,129,,,45,,Verona Carlos,,,,,00:19:46,00:02:37
itzulia-basque-country:2026:1,1,130,,,156,,Bou Joan,,,,,00:19:49,00:02:40
itzulia-basque-country:2026:1,1,131,,,74,,Fernández Sinuhé,,,,,00:19:49,00:02:40
itzulia-basque-country:2026:1,1,132,,,212,,Fox Matthew,,,,,00:19:54,00:02:45
itzulia-basque-country:2026:1,1,133,,,95,,Tesfatsion Natnael,,,,,00:19:57,00:02:48
itzulia-basque-country:2026:1,1,134,,,92,,Arcas Jorge,,,,,00:19:58,00:02:49
itzulia-basque-country:2026:1,1,135,,,86,,Gutiérrez Jorge,,,,,00:19:58,00:02:49
itzulia-basque-country:2026:1,1,136,,,115,,Stockwell Oliver,,,,,00:19:59,00:02:50
itzulia-basque-country:2026:1,1,137,,,144,,Meehan Jamie,,,,,00:19:59,00:02:50
itzulia-basque-country:2026:1,1,138,,,182,,Hamilton Lucas,,,,,00:20:00,00:02:51
itzulia-basque-country:2026:1,1,139,,,83,,Gimeno Nil,,,,,00:20:02,00:02:53
itzulia-basque-country:2026:1,1,140,,,106,,Martinez Juan Guillermo,,,,,00:20:06,00:02:57
itzulia-basque-country:2026:1,1,141,,,71,,Okamika Ander,,,,,00:20:20,00:03:11
itzulia-basque-country:2026:1,1,142,,,137,,Wirtgen Luc,,,,,00:20:22,00:03:13
itzulia-basque-country:2026:1,1,143,,,151,,Barceló Fernando,,,,,00:20:26,00:03:17
itzulia-basque-country:2026:1,1,144,,,114,,Bruttomesso Alberto,,,,,00:20:32,00:03:23
itzulia-basque-country:2026:1,1,145,,,85,,Ramos Unai,,,,,00:20:35,00:03:26
itzulia-basque-country:2026:1,1,146,,,201,,Cort Magnus,,,,,00:20:51,00:03:42
itzulia-basque-country:2026:1,1,147,,,127,,Vergallito Luca,,,,,00:20:56,00:03:47
itzulia-basque-country:2026:1,1,148,,,24,,Geniets Kevin,,,,,00:21:00,00:03:51
itzulia-basque-country:2026:1,1,149,,,135,,Voisard Yannis,,,,,00:21:01,00:03:52
itzulia-basque-country:2026:1,1,150,,,42,,Mollema Bauke,,,,,00:21:28,00:04:19
itzulia-basque-country:2026:1,1,151,,,23,,Decomble Maxime,,,,,00:22:23,00:05:14
itzulia-basque-country:2026:1,1,152,,,211,,Kockelmann Mathieu,,,,,00:23:05,00:05:56
itzulia-basque-country:2026:2,2,1,1,,61,,Seixas Paul,,,,,04:28:47,
itzulia-basque-country:2026:2,2,2,4,,51,,Roglič Primož,,,,,04:30:46,00:01:59
itzulia-basque-country:2026:2,2,3,6,,53,,Lipowitz Florian,,,,,04:30:55,00:02:08
itzulia-basque-country:2026:2,2,4,9,,46,,Skjelmose Mattias,,,,,04:31:01,00:02:14
itzulia-basque-country:2026:2,2,5,14,,194,,Tulett Ben,,,,,04:31:14,00:02:27
itzulia-basque-country:2026:2,2,6,20,,176,,Baudin Alex,,,,,04:31:18,00:02:31
itzulia-basque-country:2026:2,2,7,24,,141,,Izagirre Ion,,,,,04:31:23,00:02:36
itzulia-basque-country:2026:2,2,8,13,,31,,del Toro Isaac,,,,,04:31:31,00:02:44
itzulia-basque-country:2026:2,2,9,18,,14,,Tejada Harold,,,,,04:31:35,00:02:48
itzulia-basque-country:2026:2,2,10,50,,91,,Uijtdebroeks Cian,,,,,04:31:48,00:03:01
itzulia-basque-country:2026:2,2,11,42,,11,,Champoussin Clément,,,,,04:31:49,00:03:02
itzulia-basque-country:2026:2,2,12,11,,97,,Romo Javier,,,,,04:32:19,00:03:32
itzulia-basque-country:2026:2,2,13,17,,111,,Bilbao Pello,,,,,04:32:24,00:03:37
itzulia-basque-country:2026:2,2,14,23,,62,,Riccitello Matthew,,,,,04:32:29,00:03:42
itzulia-basque-country:2026:2,2,15,30,,172,,Beloki Markel,,,,,04:32:32,00:03:45
itzulia-basque-country:2026:2,2,16,38,,41,,Ayuso Juan,,,,,04:32:42,00:03:55
itzulia-basque-country:2026:2,2,17,5,,6,,Van Wilder Ilan,,,,,04:33:16,00:04:29
itzulia-basque-country:2026:2,2,18,77,,93,,López Juan Pedro,,,,,04:33:19,00:04:32
itzulia-basque-country:2026:2,2,19,79,,13,,Higuita Sergio,,,,,04:33:21,00:04:34
itzulia-basque-country:2026:2,2,20,28,,22,,Braz Afonso Clément,,,,,04:33:32,00:04:45
itzulia-basque-country:2026:2,2,21,2,,183,,Vauquelin Kévin,,,,,04:33:33,00:04:46
itzulia-basque-country:2026:2,2,22,58,,124,,Verstrynge Emiel,,,,,04:33:57,00:05:10
itzulia-basque-country:2026:2,2,23,57,,33,,Arrieta Igor,,,,,04:33:58,00:05:11
itzulia-basque-country:2026:2,2,24,15,,4,,Vansevenant Mauri,,,,,04:34:02,00:05:15
itzulia-basque-country:2026:2,2,25,63,,192,,Graat Tijmen,,,,,04:34:03,00:05:16
itzulia-basque-country:2026:2,2,26,22,,202,,Johannessen Tobias Halland,,,,,04:34:07,00:05:20
itzulia-basque-country:2026:2,2,27,70,,21,,Martin Guillaume,,,,,04:34:08,00:05:21
itzulia-basque-country:2026:2,2,28,80,,175,,van der Lee Jardi Christiaan,,,,,04:34:17,00:05:30
itzulia-basque-country:2026:2,2,29,96,,12,,Fortunato Lorenzo,,,,,04:34:32,00:05:45
itzulia-basque-country:2026:2,2,30,51,,87,,Ruiz Ibon,,,,,04:34:37,00:05:50
itzulia-basque-country:2026:2,2,31,92,,84,,Iribar Unai,,,,,04:34:37,00:05:50
itzulia-basque-country:2026:2,2,32,54,,143,,Buchmann Emanuel,,,,,04:34:39,00:05:52
itzulia-basque-country:2026:2,2,33,16,,186,,Øxenberg Peter,,,,,04:34:47,00:06:00
itzulia-basque-country:2026:2,2,34,72,,107,,Gaffuri Mattia,,,,,04:34:59,00:06:12
itzulia-basque-country:2026:2,2,35,62,,163,,Juaristi Txomin,,,,,04:35:03,00:06:16
itzulia-basque-country:2026:2,2,36,94,,153,,Fernández Samuel,,,,,04:35:21,00:06:34
itzulia-basque-country:2026:2,2,37,104,,76,,Díaz José Manuel,,,,,04:35:28,00:06:41
itzulia-basque-country:2026:2,2,38,109,,152,,Castellon Jan,,,,,04:35:42,00:06:55
itzulia-basque-country:2026:2,2,39,112,,103,,Faure Prost Alexy,,,,,04:35:43,00:06:56
itzulia-basque-country:2026:2,2,40,128,,73,,Faura José Luis,,,,,04:35:46,00:06:59
itzulia-basque-country:2026:2,2,41,110,,155,,Arriolabengoa Julen,,,,,04:35:55,00:07:08
itzulia-basque-country:2026:2,2,42,137,,144,,Meehan Jamie,,,,,04:36:18,00:07:31
itzulia-basque-country:2026:2,2,43,141,,71,,Okamika Ander,,,,,04:36:21,00:07:34
itzulia-basque-country:2026:2,2,44,95,,75,,García Pierna Carlos,,,,,04:37:42,00:08:55
itzulia-basque-country:2026:2,2,45,107,,215,,Thompson Reuben,,,,,04:37:59,00:09:12
itzulia-basque-country:2026:2,2,46,126,,165,,Alustiza Nicolás,,,,,04:38:11,00:09:24
itzulia-basque-country:2026:2,2,47,143,,151,,Barceló Fernando,,,,,04:38:55,00:10:08
itzulia-basque-country:2026:2,2,48,33,,94,,García Pierna Raúl,,,,,04:39:49,00:11:02
itzulia-basque-country:2026:2,2,49,102,,162,,Bizkarra Mikel,,,,,04:39:56,00:11:09
itzulia-basque-country:2026:2,2,50,113,,164,,Lastra Jonathan,,,,,04:40:03,00:11:16
itzulia-basque-country:2026:2,2,51,121,,157,,López Joseba,,,,,04:41:09,00:12:22
itzulia-basque-country:2026:2,2,52,39,,203,,Johannessen Anders Halland,,,,,04:41:12,00:12:25
itzulia-basque-country:2026:2,2,53,8,,32,,McNulty Brandon,,,,,04:41:41,00:12:54
itzulia-basque-country:2026:2,2,54,53,,56,,Tuckwell Luke,,,,,04:41:48,00:13:01
itzulia-basque-country:2026:2,2,55,67,,205,,Kulset Johannes,,,,,04:41:59,00:13:12
itzulia-basque-country:2026:2,2,56,26,,37,,Soler Marc,,,,,04:41:59,00:13:12
itzulia-basque-country:2026:2,2,57,35,,65,,Prodhomme Nicolas,,,,,04:42:09,00:13:22
itzulia-basque-country:2026:2,2,58,40,,25,,Pacher Quentin,,,,,04:42:18,00:13:31
itzulia-basque-country:2026:2,2,59,61,,36,,Pericas Adrià,,,,,04:42:32,00:13:45
itzulia-basque-country:2026:2,2,60,130,,156,,Bou Joan,,,,,04:42:39,00:13:52
itzulia-basque-country:2026:2,2,61,75,,43,,Bagioli Andrea,,,,,04:42:43,00:13:56
itzulia-basque-country:2026:2,2,62,21,,7,,Hayter Ethan,,,,,04:42:55,00:14:08
itzulia-basque-country:2026:2,2,63,19,,1,,Landa Mikel,,,,,04:43:03,00:14:16
itzulia-basque-country:2026:2,2,64,140,,106,,Martinez Juan Guillermo,,,,,04:43:16,00:14:29
itzulia-basque-country:2026:2,2,65,129,,45,,Verona Carlos,,,,,04:43:35,00:14:48
itzulia-basque-country:2026:2,2,66,131,,74,,Fernández Sinuhé,,,,,04:43:38,00:14:51
itzulia-basque-country:2026:2,2,67,12,,191,,Armirail Bruno,,,,,04:43:43,00:14:56
itzulia-basque-country:2026:2,2,68,135,,86,,Gutiérrez Jorge,,,,,04:43:47,00:15:00
itzulia-basque-country:2026:2,2,69,7,,181,,August Andrew,,,,,04:43:50,00:15:03
itzulia-basque-country:2026:2,2,70,32,,3,,Cras Steff,,,,,04:44:06,00:15:19
itzulia-basque-country:2026:2,2,71,25,,204,,Kron Andreas,,,,,04:44:11,00:15:24
itzulia-basque-country:2026:2,2,72,34,,131,,Alaphilippe Julian,,,,,04:44:27,00:15:40
itzulia-basque-country:2026:2,2,73,69,,121,,Houle Hugo,,,,,04:44:38,00:15:51
itzulia-basque-country:2026:2,2,74,45,,101,,van den Broek Frank,,,,,04:44:39,00:15:52
itzulia-basque-country:2026:2,2,75,49,,173,,Shaw James,,,,,04:44:39,00:15:52
itzulia-basque-country:2026:2,2,76,73,,105,,Koerdt Bjorn,,,,,04:44:41,00:15:54
itzulia-basque-country:2026:2,2,77,10,,177,,Leonard Michael,,,,,04:44:47,00:16:00
itzulia-basque-country:2026:2,2,78,64,,17,,Velasco Simone,,,,,04:44:52,00:16:05
itzulia-basque-country:2026:2,2,79,86,,195,,Kruijswijk Steven,,,,,04:44:53,00:16:06
itzulia-basque-country:2026:2,2,80,89,,196,,Rex Tim,,,,,04:44:56,00:16:09
itzulia-basque-country:2026:2,2,81,31,,142,,Aranburu Alex,,,,,04:45:08,00:16:21
itzulia-basque-country:2026:2,2,82,36,,171,,Healy Ben,,,,,04:45:14,00:16:27
itzulia-basque-country:2026:2,2,83,103,,102,,Dinham Matthew,,,,,04:45:14,00:16:27
itzulia-basque-country:2026:2,2,84,37,,185,,Laurance Axel,,,,,04:45:15,00:16:28
itzulia-basque-country:2026:2,2,85,41,,26,,Paleni Enzo,,,,,04:45:21,00:16:34
itzulia-basque-country:2026:2,2,86,43,,64,,Labrosse Jordan,,,,,04:45:23,00:16:36
itzulia-basque-country:2026:2,2,87,47,,67,,Paret-Peintre Aurélien,,,,,04:45:25,00:16:38
itzulia-basque-country:2026:2,2,88,48,,116,,Tiberi Antonio,,,,,04:45:25,00:16:38
itzulia-basque-country:2026:2,2,89,56,,47,,Simmons Quinn,,,,,04:45:31,00:16:44
itzulia-basque-country:2026:2,2,90,115,,145,,Joalland Yaël,,,,,04:45:32,00:16:45
itzulia-basque-country:2026:2,2,91,60,,216,,Veistroffer Baptiste,,,,,04:45:35,00:16:48
itzulia-basque-country:2026:2,2,92,74,,132,,Weiss Fabian,,,,,04:45:45,00:16:58
itzulia-basque-country:2026:2,2,93,139,,83,,Gimeno Nil,,,,,04:45:50,00:17:03
itzulia-basque-country:2026:2,2,94,81,,174,,Nerurkar Lukas,,,,,04:45:55,00:17:08
itzulia-basque-country:2026:2,2,95,133,,95,,Tesfatsion Natnael,,,,,04:45:56,00:17:09
itzulia-basque-country:2026:2,2,96,83,,147,,Ourselin Paul,,,,,04:45:56,00:17:09
itzulia-basque-country:2026:2,2,97,84,,55,,Moscon Gianni,,,,,04:45:56,00:17:09
itzulia-basque-country:2026:2,2,98,88,,104,,Knox James,,,,,04:45:58,00:17:11
itzulia-basque-country:2026:2,2,99,90,,126,,Glivar Gal,,,,,04:46:01,00:17:14
itzulia-basque-country:2026:2,2,100,93,,161,,Ugarte Gari,,,,,04:46:04,00:17:17
itzulia-basque-country:2026:2,2,101,98,,15,,Conci Nicola,,,,,04:46:09,00:17:22
itzulia-basque-country:2026:2,2,102,101,,112,,Ermakov Roman,,,,,04:46:11,00:17:24
itzulia-basque-country:2026:2,2,103,106,,214,,Orins Robin,,,,,04:46:20,00:17:33
itzulia-basque-country:2026:2,2,104,108,,72,,Quartucci Lorenzo,,,,,04:46:22,00:17:35
itzulia-basque-country:2026:2,2,105,111,,146,,Maas Jan,,,,,04:46:24,00:17:37
itzulia-basque-country:2026:2,2,106,114,,16,,Scaroni Christian,,,,,04:46:24,00:17:37
itzulia-basque-country:2026:2,2,107,117,,117,,Valter Attila,,,,,04:46:25,00:17:38
itzulia-basque-country:2026:2,2,108,122,,134,,Eriksson Jacob,,,,,04:46:31,00:17:44
itzulia-basque-country:2026:2,2,109,124,,52,,Etxeberria Haimar,,,,,04:46:32,00:17:45
itzulia-basque-country:2026:2,2,110,125,,206,,Tjøtta Martin,,,,,04:46:32,00:17:45
itzulia-basque-country:2026:2,2,111,127,,123,,Belmans Lennert,,,,,04:46:36,00:17:49
itzulia-basque-country:2026:2,2,112,134,,92,,Arcas Jorge,,,,,04:46:50,00:18:03
itzulia-basque-country:2026:2,2,113,136,,115,,Stockwell Oliver,,,,,04:46:51,00:18:04
itzulia-basque-country:2026:2,2,114,145,,85,,Ramos Unai,,,,,04:47:27,00:18:40
itzulia-basque-country:2026:2,2,115,148,,24,,Geniets Kevin,,,,,04:47:52,00:19:05
itzulia-basque-country:2026:2,2,116,150,,42,,Mollema Bauke,,,,,04:48:20,00:19:33
itzulia-basque-country:2026:2,2,117,151,,23,,Decomble Maxime,,,,,04:49:15,00:20:28
itzulia-basque-country:2026:2,2,118,3,,34,,Großschartner Felix,,,,,04:49:22,00:20:35
itzulia-basque-country:2026:2,2,119,29,,63,,Bisiaux Léo,,,,,04:50:00,00:21:13
itzulia-basque-country:2026:2,2,120,44,,57,,Herzog Emil,,,,,04:50:17,00:21:30
itzulia-basque-country:2026:2,2,121,46,,184,,Langellotti Victor,,,,,04:50:19,00:21:32
itzulia-basque-country:2026:2,2,122,52,,197,,Fiorelli Filippo,,,,,04:50:22,00:21:35
itzulia-basque-country:2026:2,2,123,59,,44,,Bernard Julien,,,,,04:50:25,00:21:38
itzulia-basque-country:2026:2,2,124,55,,154,,Molenaar Alex,,,,,04:50:25,00:21:38
itzulia-basque-country:2026:2,2,125,65,,66,,Staune-Mittet Johannes,,,,,04:50:30,00:21:43
itzulia-basque-country:2026:2,2,126,66,,5,,Svrček Martin,,,,,04:50:34,00:21:47
itzulia-basque-country:2026:2,2,127,68,,125,,Dockx Aaron,,,,,04:50:35,00:21:48
